inf_rate,year
2.2701,2003
2.6772,2004
3.3927,2005
3.2259,2006
2.8527,2007
3.8391,2008
-0.3555,2009
1.64,2010
3.1568,2011
2.0693,2012
1.4648,2013
1.6222,2014
0.1186,2015
1.2616,2016
2.1301,2017
2.4426,2018
1.8122,2019
1.2336,2020
4.6979,2021
8.0028,2022
