date,median
01-01-2003,65860
01-01-2004,65760
01-01-2005,66780
01-01-2006,67520
01-01-2007,68610
01-01-2008,66280
01-01-2009,65850
01-01-2010,64300
01-01-2011,63350
01-01-2012,63350
01-01-2013,65740
01-01-2014,64900
01-01-2015,68410
01-01-2016,70840
01-01-2017,72090
01-01-2018,73030
01-01-2019,78250
01-01-2020,76660
01-01-2021,76330
01-01-2022,74580
