Macrotrends Data Download

U.S. Immigration Statistics 1960-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Migrant Population, % of Total Population, 
1960-12-31,10825599
1965-12-31,11354439
1970-12-31,11973787
1975-12-31,13991349
1980-12-31,16364410
1985-12-31,19491741
1990-12-31,23251026,9.1957
1995-12-31,28451053,10.6848
2000-12-31,34814053,12.3063
2005-12-31,39258293,13.2567
2010-12-31,44183643,14.2585
2015-12-31,46627102,14.4907
